Freq;V_s;V/div
10.00;0.88;0.2
15.00;1.05;0.2
20.00;1.14;0.2
30.00;1.23;0.2
50.00;1.33;0.2
70.00;1.41;0.2
100.00;1.54;0.2
200.00;2.15;0.5
300.00;2.77;0.5
400.00;3.38;0.5
500.00;3.98;1.00
600.00;4.54;1.00
700.00;5.07;1.00
800.00;5.59;1.00
900.00;6.07;1.00
1000.00;6.51;1.00
1300.00;7.8;2.00
1600.00;8.8;2.00
2000.00;9.9;2.00
2500.00;10.9;2.00
3000.00;11.7;2.00
4000.00;12.6;2.00
5000.00;13.3;2.00
6000.00;13.7;2.00
7000.00;14.1;5.00
8000.00;14.3;5.00
9000.00;14.5;5.00
10000.00;14.7;5.00
15000.00;14.9;5.00
20000.00;15.1;5.00
25000.00;15.3;5.00
30000.00;15.3;5.00
50000.00;15.3;5.00
