Freq;V_s;V_r;V/div-S;V/div-R;RelativePhase
5;0.56;0.05;0.10;0.01;0.00
6;0.64;0.04;0.10;0.01;0.00
7;0.71;0.05;0.10;0.01;0.00
8;0.78;0.06;0.10;0.01;0.00
9;0.84;0.06;0.20;0.01;0.00
10;0.88;0.06;0.20;0.01;0.00
15;1.05;0.08;0.20;0.01;100.00
20;1.14;0.09;0.20;0.02;97.00
30;1.22;0.14;0.20;0.02;100.00
50;1.30;0.20;0.20;0.05;106.00
70;1.37;0.28;0.20;0.05;112.00
100;1.47;0.38;0.20;0.05;120.00
200;1.97;0.73;0.50;0.10;140.00
300;2.55;1.08;0.50;0.20;150.00
400;3.18;1.42;0.50;0.20;158.00
500;3.80;1.75;0.50;0.50;161.00
600;4.46;2.05;1.00;0.50;165.00
700;5.07;2.35;1.00;0.50;168.00
800;5.63;2.65;1.00;0.50;168.00
900;6.19;2.91;1.00;0.50;169.00
1000;6.71;3.18;1.00;0.50;170.00
1300;8.30;3.94;2.00;1.00;-187.00
1600;9.50;4.50;2.00;1.00;-185.00
2000;10.70;5.07;2.00;1.00;175.00
3000;12.70;5.95;2.00;1.00;177.00
4000;13.70;6.43;2.00;1.00;177.00
5000;14.20;6.67;2.00;1.00;-181.00
6000;14.50;6.83;2.00;1.00;178.00
7000;14.70;6.91;2.00;1.00;178.00
8000;14.80;7.00;2.00;1.00;178.00
9000;15.00;7.08;2.00;1.00;-181.00
10000;15.00;7.08;2.00;1.00;179.00
15000;15.10;7.20;2.00;1.00;179.00
20000;15.30;7.28;2.00;1.00;-180.00
25000;15.30;7.36;2.00;1.00;179.00
50000;15.50;8.20;5.00;2.00;179.00
